OBJECTID,MESH,Latitude,Longitude,Reference,cs137_inve,landuse_co
171795,5640_3790_2_4,37.66145800000,140.88593800000,2011/7/2,438446.43750000000,20
171823,5640_3792_1_4,37.66145800000,140.90468800000,2011/7/2,335620.40630000000,10
171826,5640_3792_2_3,37.66145800000,140.90781300000,2011/7/2,310010.71880000000,70
171846,5640_3793_3_3,37.66562500000,140.91406300000,2011/7/2,245801.25000000000,110
171847,5640_3793_3_4,37.66562500000,140.91718800000,2011/7/2,223725.75000000000,110
171850,5640_3793_4_3,37.66562500000,140.92031300000,2011/7/2,204719.56250000000,110
171851,5640_3793_4_4,37.66562500000,140.92343800000,2011/7/2,192826.75000000000,110
171854,5640_3794_1_3,37.66145800000,140.92656300000,2011/7/2,205505.06250000000,20
171859,5640_3794_2_4,37.66145800000,140.93593800000,2011/7/2,161758.79690000000,70
171886,5640_3796_1_3,37.66145800000,140.95156300000,2011/7/2,132266.00000000000,20
171887,5640_3796_1_4,37.66145800000,140.95468800000,2011/7/2,125731.85940000000,50
171903,5640_3797_1_4,37.66145800000,140.96718800000,2011/7/2,96130.10156000000,92
171906,5640_3797_2_3,37.66145800000,140.97031300000,2011/7/2,90273.57031000000,70
171919,5640_3798_1_4,37.66145800000,140.97968800000,2011/7/2,80769.37500000000,50
171922,5640_3798_2_3,37.66145800000,140.98281300000,2011/7/2,77335.82813000000,50
171928,5640_3798_4_1,37.66354200000,140.98281300000,2011/7/2,77257.59375000000,50
171938,5640_3799_2_3,37.66145800000,140.99531300000,2011/7/2,77463.33594000000,70
171839,5640_3793_1_4,37.66145800000,140.91718800000,2011/7/2,238891.06250000000,20
171909,5640_3797_3_2,37.66354200000,140.96718800000,2011/7/2,95332.00781000000,50
171910,5640_3797_3_3,37.66562500000,140.96406300000,2011/7/2,99175.25000000000,50
171911,5640_3797_3_4,37.66562500000,140.96718800000,2011/7/2,94074.60156000000,50
171912,5640_3797_4_1,37.66354200000,140.97031300000,2011/7/2,89579.08594000000,50
171913,5640_3797_4_2,37.66354200000,140.97343800000,2011/7/2,83939.66406000000,50
171914,5640_3797_4_3,37.66562500000,140.97031300000,2011/7/2,88991.18750000000,50
171915,5640_3797_4_4,37.66562500000,140.97343800000,2011/7/2,83602.05469000000,50
171918,5640_3798_1_3,37.66145800000,140.97656300000,2011/7/2,82210.97656000000,50
171924,5640_3798_3_1,37.66354200000,140.97656300000,2011/7/2,82122.35938000000,50
171925,5640_3798_3_2,37.66354200000,140.97968800000,2011/7/2,80665.14844000000,50
171927,5640_3798_3_4,37.66562500000,140.97968800000,2011/7/2,80051.35156000000,50
171930,5640_3798_4_3,37.66562500000,140.98281300000,2011/7/2,76219.86719000000,50
172611,5640_4707_1_1,37.66770800000,140.96406300000,2011/7/2,98024.25781000000,50
172612,5640_4707_1_2,37.66770800000,140.96718800000,2011/7/2,93085.61719000000,50
172615,5640_4707_2_1,37.66770800000,140.97031300000,2011/7/2,88765.85156000000,50
172616,5640_4707_2_2,37.66770800000,140.97343800000,2011/7/2,83841.97656000000,50
172617,5640_4707_2_3,37.66979200000,140.97031300000,2011/7/2,88574.60938000000,50
172618,5640_4707_2_4,37.66979200000,140.97343800000,2011/7/2,84537.21094000000,50
172624,5640_4707_4_2,37.67187500000,140.97343800000,2011/7/2,86984.90625000000,50
172627,5640_4708_1_1,37.66770800000,140.97656300000,2011/7/2,81681.85156000000,50
172628,5640_4708_1_2,37.66770800000,140.97968800000,2011/7/2,79883.67188000000,50
172629,5640_4708_1_3,37.66979200000,140.97656300000,2011/7/2,81887.98438000000,50
172630,5640_4708_1_4,37.66979200000,140.97968800000,2011/7/2,79681.03906000000,50
172631,5640_4708_2_1,37.66770800000,140.98281300000,2011/7/2,75487.52344000000,50
172636,5640_4708_3_2,37.67187500000,140.97968800000,2011/7/2,79809.38281000000,50
172637,5640_4708_3_3,37.67395800000,140.97656300000,2011/7/2,84350.00781000000,50
172638,5640_4708_3_4,37.67395800000,140.97968800000,2011/7/2,79999.49219000000,50
172787,5640_4718_1_1,37.67604200000,140.97656300000,2011/7/2,83815.58594000000,50
172789,5640_4718_1_3,37.67812500000,140.97656300000,2011/7/2,82028.06250000000,50
171939,5640_3799_2_4,37.66145800000,140.99843800000,2011/7/2,75775.71094000000,100
171841,5640_3793_2_2,37.65937500000,140.92343800000,2011/7/2,212440.51560000000,70
171853,5640_3794_1_2,37.65937500000,140.92968800000,2011/7/2,192821.60940000000,70
